"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Find DLQ events - failed transactions","","2026-08-20","passed","2026-08-20","","","",""
"","25","Validate Kafka metadata stored correctly in MongoDB","","2026-08-20","passed","2026-08-20","","","",""
"","16","Create account with invalid currency returns 400","","2026-08-20","passed","2026-08-20","","","",""
"","15","Partial match - match response contains","","2026-08-20","passed","2026-08-20","","","",""
"","14","Update account email successfully","","2026-08-20","passed","2026-08-20","","","",""
"","8","Transfer 201 for amount 50.50","","2026-08-20","passed","2026-08-20","","","",""
"","18","Freeze account successfully","","2026-08-20","passed","2026-08-20","","","",""
"","8","Response header validation","","2026-08-20","passed","2026-08-20","","","",""
"","573","Validate full order lifecycle - Created to Paid","","2026-08-20","passed","2026-08-20","","","",""
"","23","Count total events in MongoDB","","2026-08-20","passed","2026-08-20","","","",""
"","28","Validate event audit trail for order","","2026-08-20","passed","2026-08-20","","","",""
"","2556","Offset replay - consumer reads from earliest offset","","2026-08-20","passed","2026-08-20","","","",""
"","7","Update non-existent account returns 404","","2026-08-20","passed","2026-08-20","","","",""
"","6","Transfer to same account returns 400","","2026-08-20","passed","2026-08-20","","","",""
"","183","Validate ORDER_CREATED event stored in MongoDB","","2026-08-20","passed","2026-08-20","","","",""
"","22","Find events missing Kafka metadata","","2026-08-20","passed","2026-08-20","","","",""
"","9","Get account - verify schema","","2026-08-20","passed","2026-08-20","","","",""
"","2572","Idempotency - same order sent twice produces only one event","","2026-08-20","passed","2026-08-20","","","",""
"","8","Insufficient funds returns 422","","2026-08-20","passed","2026-08-20","","","",""
"","10","Validate QuickMart Cash API schema","","2026-08-20","passed","2026-08-20","","","",""
"","110","Create new savings account successfully","","2026-08-20","passed","2026-08-20","","","",""
"","13","Get account by ID - success","","2026-08-20","passed","2026-08-20","","","",""
"","567","Validate ORDER_CREATED event type routing","","2026-08-20","passed","2026-08-20","","","",""
"","18","Create account with missing required fields returns 400","","2026-08-20","passed","2026-08-20","","","",""
"","2590","Full order flow - API to Kafka event validation","","2026-08-20","passed","2026-08-20","","","",""
"","10","Transfer 201 for amount 100.00","","2026-08-20","passed","2026-08-20","","","",""
"","9","Transfer 400 for amount 50.00","","2026-08-20","passed","2026-08-20","","","",""
"","11","Get account - verify currency","","2026-08-20","passed","2026-08-20","","","",""
"","4289","Send HTTP call and validate Kafka event produced","","2026-08-20","passed","2026-08-20","","","",""
"","8","Transfer 201 for amount 0.01","","2026-08-20","passed","2026-08-20","","","",""
"","2558","DLQ Flow - Failed order goes to Dead Letter Queue","","2026-08-20","passed","2026-08-20","","","",""
"","14","Regex and conditional validation","","2026-08-20","passed","2026-08-20","","","",""
"","18","Type validation - #string #number #boolean #notnull","","2026-08-20","passed","2026-08-20","","","",""
"","36","Apply for personal loan - full happy path (5 steps)","","2026-08-20","passed","2026-08-20","","","",""
"","46","Partition routing - same customerId always goes to same partition","","2026-08-20","passed","2026-08-20","","","",""
"","91","Generate unique transfer payload at runtime","","2026-08-20","passed","2026-08-20","","","",""
"","11","Successful transfer returns 201 with PENDING status","","2026-08-20","passed","2026-08-20","","","",""
"","8","Negative test - error response schema validation","","2026-08-20","passed","2026-08-20","","","",""
"","5","Missing required fields returns 400","","2026-08-20","passed","2026-08-20","","","",""
