"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Get transaction by ID - not found returns 404","","","passed","","","src/test/resources/quickmart/cash/cash.feature","src.test.resources.quickmart.cash.cash",""
"","21","Create Business Day successfully","","","passed","","","src/test/resources/quickmart/businessday/business-day.feature","src.test.resources.quickmart.businessday.business-day",""
"","29","Get current Business Day for store","","","passed","","","src/test/resources/quickmart/businessday/business-day.feature","src.test.resources.quickmart.businessday.business-day",""
"","499","Cash Inbound - verify saved in MongoDB","","","passed","","","src/test/resources/quickmart/cash/cash.feature","src.test.resources.quickmart.cash.cash",""
"","18","Get all transactions for store","","","passed","","","src/test/resources/quickmart/cash/cash.feature","src.test.resources.quickmart.cash.cash",""
"","26","Open and Close Till flow","","","passed","","","src/test/resources/quickmart/till/till.feature","src.test.resources.quickmart.till.till",""
"","24","Get Till Status","","","passed","","","src/test/resources/quickmart/till/till.feature","src.test.resources.quickmart.till.till",""
"","28","Cash Outbound - verify saved in MongoDB","","","passed","","","src/test/resources/quickmart/cash/cash.feature","src.test.resources.quickmart.cash.cash",""
"","17","Open Till successfully","","","passed","","","src/test/resources/quickmart/till/till.feature","src.test.resources.quickmart.till.till",""
"","22","Create and End Business Day flow","","","passed","","","src/test/resources/quickmart/businessday/business-day.feature","src.test.resources.quickmart.businessday.business-day",""
"","22","Cash Pickup - verify saved in MongoDB","","","passed","","","src/test/resources/quickmart/cash/cash.feature","src.test.resources.quickmart.cash.cash",""
"","131","Complete store trading day flow","","","passed","","","src/test/resources/quickmart/e2e/store-day-flow.feature","src.test.resources.quickmart.e2e.store-day-flow",""
"","26","Cash Loan - verify saved in MongoDB","","","passed","","","src/test/resources/quickmart/cash/cash.feature","src.test.resources.quickmart.cash.cash",""
